variable,question,label,bank,section,touchpoint,subgroup,role,scale_max,include,n_terisi,ada_di_data,scale_type,pair_key
T_C1B_26,Menyediakan layanan online terkait dengan informasi produk - XYZ,Menyediakan layanan online terkait dengan informasi produk,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Atribut,6,1,1728,Ya,SATISFACTION,Brand Image|XYZ|menyediakanlayananonlineterkaitdenganinformasiproduk|0
T_C1A_9,Menyediakan layanan online terkait dengan informasi produk,Menyediakan layanan online terkait dengan informasi produk,XYZ,Brand Image,Brand Image,Kemudahan & Teknologi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|menyediakanlayananonlineterkaitdenganinformasiproduk|0
T_C1B_9,Bank yang membuat saya merasa aman - kompetitor,Bank yang membuat saya merasa aman,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmembuatsayamerasaaman|0
T_C1B_12,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - kompetitor,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,543,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmembuatsayamerasadihargaimenjadinasabahbankini|0
T_C1B_39,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - kompetitor,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,542,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmembuatsayamerasapercayadiridandapatmengontrolpenuhkebutuhantransaksiperbankansaya|0
T_C1B_54,Bank yang memiliki kinerja bisnis yang baik - kompetitor,Bank yang memiliki kinerja bisnis yang baik,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,542,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmemilikikinerjabisnisyangbaik|0
T_C1B_21,Bank yang memiliki reputasi yang baik - kompetitor,Bank yang memiliki reputasi yang baik,Kompetitor,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmemilikireputasiyangbaik|0
T_C1B_8,Bank yang membuat saya merasa aman - XYZ,Bank yang membuat saya merasa aman,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1728,Ya,SATISFACTION,Brand Image|XYZ|bankyangmembuatsayamerasaaman|0
T_C1A_3,Bank yang membuat saya merasa aman,Bank yang membuat saya merasa aman,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmembuatsayamerasaaman|0
T_C1B_11,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - XYZ,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1727,Ya,SATISFACTION,Brand Image|XYZ|bankyangmembuatsayamerasadihargaimenjadinasabahbankini|0
T_C1A_4,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmembuatsayamerasadihargaimenjadinasabahbankini|0
T_C1B_38,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - XYZ,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1727,Ya,SATISFACTION,Brand Image|XYZ|bankyangmembuatsayamerasapercayadiridandapatmengontrolpenuhkebutuhantransaksiperbankansaya|0
T_C1A_13,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmembuatsayamerasapercayadiridandapatmengontrolpenuhkebutuhantransaksiperbankansaya|0
T_C1B_53,Bank yang memiliki kinerja bisnis yang baik - XYZ,Bank yang memiliki kinerja bisnis yang baik,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1728,Ya,SATISFACTION,Brand Image|XYZ|bankyangmemilikikinerjabisnisyangbaik|0
T_C1A_18,Bank yang memiliki kinerja bisnis yang baik,Bank yang memiliki kinerja bisnis yang baik,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmemilikikinerjabisnisyangbaik|0
T_C1B_20,Bank yang memiliki reputasi yang baik - XYZ,Bank yang memiliki reputasi yang baik,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Atribut,6,1,1726,Ya,SATISFACTION,Brand Image|XYZ|bankyangmemilikireputasiyangbaik|0
T_C1A_7,Bank yang memiliki reputasi yang baik,Bank yang memiliki reputasi yang baik,XYZ,Brand Image,Brand Image,Kepercayaan & Reputasi,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmemilikireputasiyangbaik|0
T_C1B_72,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - kompetitor,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,544,Ya,SATISFACTION,Brand Image|Kompetitor|bankdengansegalaprodukdanfasilitasyangmembuatsayamerasacukupdenganmenjadinasabahsatubanksaja|0
T_C1B_24,Bank yang menawarkan produk/layanan yang lengkap - kompetitor,Bank yang menawarkan produk/layanan yang lengkap,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,545,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmenawarkanproduklayananyanglengkap|0
T_C1B_33,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - kompetitor,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya,Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,541,Ya,SATISFACTION,Brand Image|Kompetitor|bankyangmenguntungkanuntukinvestasipengembangankekayaanuangsaya|0
T_C1B_66,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - kompetitor","Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards)",Kompetitor,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,0,543,Ya,SATISFACTION,Brand Image|Kompetitor|memberikankeuntungansaatdigunakanuntukbertransaksidiskoncashbackpointrewards|0
T_C1B_71,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1727,Ya,SATISFACTION,Brand Image|XYZ|bankdengansegalaprodukdanfasilitasyangmembuatsayamerasacukupdenganmenjadinasabahsatubanksaja|0
T_C1A_24,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja,XYZ,Brand Image,Brand Image,Produk & Manfaat,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankdengansegalaprodukdanfasilitasyangmembuatsayamerasacukupdenganmenjadinasabahsatubanksaja|0
T_C1B_23,Bank yang menawarkan produk/layanan yang lengkap - XYZ,Bank yang menawarkan produk/layanan yang lengkap,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1727,Ya,SATISFACTION,Brand Image|XYZ|bankyangmenawarkanproduklayananyanglengkap|0
T_C1A_8,Bank yang menawarkan produk/layanan yang lengkap,Bank yang menawarkan produk/layanan yang lengkap,XYZ,Brand Image,Brand Image,Produk & Manfaat,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmenawarkanproduklayananyanglengkap|0
T_C1B_32,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - XYZ,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya,XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1726,Ya,SATISFACTION,Brand Image|XYZ|bankyangmenguntungkanuntukinvestasipengembangankekayaanuangsaya|0
T_C1A_11,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya,XYZ,Brand Image,Brand Image,Produk & Manfaat,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|bankyangmenguntungkanuntukinvestasipengembangankekayaanuangsaya|0
T_C1B_65,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - XYZ","Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards)",XYZ,Brand Image,Brand Image,Produk & Manfaat,Atribut,6,1,1716,Ya,SATISFACTION,Brand Image|XYZ|memberikankeuntungansaatdigunakanuntukbertransaksidiskoncashbackpointrewards|0
T_C1A_22,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards)","Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards)",XYZ,Brand Image,Brand Image,Produk & Manfaat,Importance,6,1,1730,Ya,IMPORTANCE,Brand Image|XYZ|memberikankeuntungansaatdigunakanuntukbertransaksidiskoncashbackpointrewards|0
T_KC2_60,"Area ruang Tertata dengan baik, rapi dan teratur - kompetitor","Area ruang Tertata dengan baik, rapi dan teratur",Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|arearuangtertatadenganbaikrapidanteratur|0
T_KC2_48,Diputarkan lagu lembut yang mengalun di area banking hall - kompetitor,Diputarkan lagu lembut yang mengalun di area banking hall,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,533,Ya,SATISFACTION,Branch Facilities|Kompetitor|diputarkanlagulembutyangmengalundiareabankinghall|0
T_KC2_24,Kebersihan pada area masuk cabang - kompetitor,Kebersihan pada area masuk cabang,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|kebersihanpadaareamasukcabang|0
T_KC2_9,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - kompetitor","Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat",Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|penampilanluarbangunancabangdanpapannamacabangdalamkeadaanbersihjelasdanterawat|0
T_KC2_69,Tersedianya ruang laktasi - kompetitor,Tersedianya ruang laktasi,Kompetitor,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,0,532,Ya,SATISFACTION,Branch Facilities|Kompetitor|tersedianyaruanglaktasi|0
T_KC2_59,"Area ruang Tertata dengan baik, rapi dan teratur - XYZ","Area ruang Tertata dengan baik, rapi dan teratur",XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1726,Ya,SATISFACTION,Branch Facilities|XYZ|arearuangtertatadenganbaikrapidanteratur|0
T_KC1_20,"Area ruang Tertata dengan baik, rapi dan teratur","Area ruang Tertata dengan baik, rapi dan teratur",XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|arearuangtertatadenganbaikrapidanteratur|0
T_KC2_47,Diputarkan lagu lembut yang mengalun di area banking hall - XYZ,Diputarkan lagu lembut yang mengalun di area banking hall,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1653,Ya,SATISFACTION,Branch Facilities|XYZ|diputarkanlagulembutyangmengalundiareabankinghall|0
T_KC1_16,Diputarkan lagu lembut yang mengalun di area banking hall,Diputarkan lagu lembut yang mengalun di area banking hall,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|diputarkanlagulembutyangmengalundiareabankinghall|0
T_KC2_23,Kebersihan pada area masuk cabang - XYZ,Kebersihan pada area masuk cabang,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1730,Ya,SATISFACTION,Branch Facilities|XYZ|kebersihanpadaareamasukcabang|0
T_KC1_8,Kebersihan pada area masuk cabang,Kebersihan pada area masuk cabang,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|kebersihanpadaareamasukcabang|0
T_KC2_8,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat - XYZ","Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat",XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1728,Ya,SATISFACTION,Branch Facilities|XYZ|penampilanluarbangunancabangdanpapannamacabangdalamkeadaanbersihjelasdanterawat|0
T_KC1_3,"Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat","Penampilan luar bangunan cabang dan papan nama cabang dalam keadaan bersih, jelas dan terawat",XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|penampilanluarbangunancabangdanpapannamacabangdalamkeadaanbersihjelasdanterawat|0
T_KC2_68,Tersedianya ruang laktasi - XYZ,Tersedianya ruang laktasi,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Atribut,6,1,1687,Ya,SATISFACTION,Branch Facilities|XYZ|tersedianyaruanglaktasi|0
T_KC1_23,Tersedianya ruang laktasi,Tersedianya ruang laktasi,XYZ,Branch Facilities,Branch Facilities,Banking Hall & Kenyamanan,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tersedianyaruanglaktasi|0
T_KC2_3,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - kompetitor,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya),Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|kantorcabangnyabanyakdekatdengantempattinggaldanatautempatkerjasaya|0
T_KC2_6,Menyediakan layanan weekend banking - kompetitor,Menyediakan layanan weekend banking,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,536,Ya,SATISFACTION,Branch Facilities|Kompetitor|menyediakanlayananweekendbanking|0
T_KC2_63,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - kompetitor,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|tataletakdikantorcabangmudahuntukdiikutidanmudahuntukmenemukansesuatuyangdibutuhkan|0
T_KC2_105,Tempat sampah tidak penuh - kompetitor,Tempat sampah tidak penuh,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|tempatsampahtidakpenuh|0
T_KC2_66,Terdapat tanaman hidup - kompetitor,Terdapat tanaman hidup,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,541,Ya,SATISFACTION,Branch Facilities|Kompetitor|terdapattanamanhidup|0
T_KC2_54,Terdapat tempat sampah dan mudah ditemukan - kompetitor,Terdapat tempat sampah dan mudah ditemukan,Kompetitor,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|terdapattempatsampahdanmudahditemukan|0
T_KC2_2,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya) - XYZ,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya),XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1724,Ya,SATISFACTION,Branch Facilities|XYZ|kantorcabangnyabanyakdekatdengantempattinggaldanatautempatkerjasaya|0
T_KC1_1,Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya),Kantor cabangnya banyak (dekat dengan tempat tinggal dan atau tempat kerja saya),XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|kantorcabangnyabanyakdekatdengantempattinggaldanatautempatkerjasaya|0
T_KC2_5,Menyediakan layanan weekend banking - XYZ,Menyediakan layanan weekend banking,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1696,Ya,SATISFACTION,Branch Facilities|XYZ|menyediakanlayananweekendbanking|0
T_KC1_2,Menyediakan layanan weekend banking,Menyediakan layanan weekend banking,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|menyediakanlayananweekendbanking|0
T_KC2_62,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan - XYZ,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1727,Ya,SATISFACTION,Branch Facilities|XYZ|tataletakdikantorcabangmudahuntukdiikutidanmudahuntukmenemukansesuatuyangdibutuhkan|0
T_KC1_21,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan,Tata letak di kantor cabang mudah untuk diikuti dan mudah untuk menemukan sesuatu yang dibutuhkan,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tataletakdikantorcabangmudahuntukdiikutidanmudahuntukmenemukansesuatuyangdibutuhkan|0
T_KC2_104,Tempat sampah tidak penuh - XYZ,Tempat sampah tidak penuh,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1728,Ya,SATISFACTION,Branch Facilities|XYZ|tempatsampahtidakpenuh|0
T_KC1_35,Tempat sampah tidak penuh,Tempat sampah tidak penuh,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|tempatsampahtidakpenuh|0
T_KC2_65,Terdapat tanaman hidup - XYZ,Terdapat tanaman hidup,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1728,Ya,SATISFACTION,Branch Facilities|XYZ|terdapattanamanhidup|0
T_KC1_22,Terdapat tanaman hidup,Terdapat tanaman hidup,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|terdapattanamanhidup|0
T_KC2_53,Terdapat tempat sampah dan mudah ditemukan - XYZ,Terdapat tempat sampah dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Atribut,6,1,1729,Ya,SATISFACTION,Branch Facilities|XYZ|terdapattempatsampahdanmudahditemukan|0
T_KC1_18,Terdapat tempat sampah dan mudah ditemukan,Terdapat tempat sampah dan mudah ditemukan,XYZ,Branch Facilities,Branch Facilities,Fasilitas Lain,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|terdapattempatsampahdanmudahditemukan|0
T_KC2_114,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank…..",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,544,Ya,SATISFACTION,
T_KC2_108,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,545,Ya,SATISFACTION,
T_KC2_111,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,545,Ya,SATISFACTION,
T_KC2_117,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - kompetitor","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank…..",Kompetitor,Branch Facilities,Branch Facilities,Overall,Overall,6,0,540,Ya,SATISFACTION,
T_KC2_113,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank….. - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap BANKING HALL bank…..",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1728,Ya,SATISFACTION,
T_KC2_107,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap JUMLAH & WAKTU OPERASIONAL bank",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1730,Ya,SATISFACTION,
T_KC2_110,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap RUANG PARKIR bank ….. untuk cabang yang ada di gedung sendiri/ruko",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1729,Ya,SATISFACTION,
T_KC2_116,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank….. - XYZ","Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TOILET bank…..",XYZ,Branch Facilities,Branch Facilities,Overall,Overall,6,1,1724,Ya,SATISFACTION,
T_KC2_15,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir),Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,543,Ya,SATISFACTION,Branch Facilities|Kompetitor|adapetugassekuritiyangmengaturdiareaparkirkhususuntukcabangdigedungsendirirukodancabangyangmenghadapketempatparkir|0
T_KC2_21,Kebersihan di area parkir - kompetitor,Kebersihan di area parkir,Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,545,Ya,SATISFACTION,Branch Facilities|Kompetitor|kebersihandiareaparkir|0
T_KC2_18,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - kompetitor","Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”)",Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|petunjukarahparkiruntuknasabahyangjelasdanbersihpetunjukarahtandatandasepertiareaparkirmobilareaparkirmotor|0
T_KC2_12,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - kompetitor,Tersedia area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir),Kompetitor,Branch Facilities,Branch Facilities,Parkir,Atribut,6,0,544,Ya,SATISFACTION,Branch Facilities|Kompetitor|tersediaareaparkirkhususuntukcabangdigedungsendirirukodancabangyangmenghadapketempatparkir|0
T_KC1_5,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir,XYZ,Branch Facilities,Branch Facilities,Parkir,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|adapetugassekuritiyangmengaturdiareaparkirkhususuntukcabangdigedungsendirirukodancabangyangmenghadapketempatparkir|0
T_KC2_14,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir) - XYZ,Ada petugas Sekuriti yang mengatur di area parkir (khusus untuk cabang di gedung sendiri/ruko dan cabang yang menghadap ke tempat parkir),XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1717,Ya,SATISFACTION,Branch Facilities|XYZ|adapetugassekuritiyangmengaturdiareaparkirkhususuntukcabangdigedungsendirirukodancabangyangmenghadapketempatparkir|0
T_KC2_20,Kebersihan di area parkir - XYZ,Kebersihan di area parkir,XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1727,Ya,SATISFACTION,Branch Facilities|XYZ|kebersihandiareaparkir|0
T_KC1_7,Kebersihan di area parkir,Kebersihan di area parkir,XYZ,Branch Facilities,Branch Facilities,Parkir,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|kebersihandiareaparkir|0
T_KC1_6,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti â€œarea parkir mobilâ€, â€œarea parkir motorâ€","Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti â€œarea parkir mobilâ€, â€œarea parkir motorâ€",XYZ,Branch Facilities,Branch Facilities,Parkir,Importance,6,1,1730,Ya,IMPORTANCE,Branch Facilities|XYZ|petunjukarahparkiruntuknasabahyangjelasdanbersihpetunjukarahtandatandasepertiareaparkirmobilareaparkirmotor|0
T_KC2_17,"Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”) - XYZ","Petunjuk arah parkir untuk nasabah yang jelas dan bersih (petunjuk arah, tanda-tanda seperti “area parkir mobil”, “area parkir motor”)",XYZ,Branch Facilities,Branch Facilities,Parkir,Atribut,6,1,1727,Ya,SATISFACTION,Branch Facilities|XYZ|petunjukarahparkiruntuknasabahyangjelasdanbersihpetunjukarahtandatandasepertiareaparkirmobilareaparkirmotor|0
